id;start_date;end_date;language;job_id;department_id;employee_id
1;2021-09-25T17:24:23;2021-09-25T15:14:38;EN;1;1;1
2;2021-09-25T02:51:58;2021-09-25T12:17:27;RU;2;2;2
3;2021-09-25T12:48:10;2021-09-25T00:53:18;ES;3;3;3
4;2021-09-25T17:18:59;2021-09-24T22:45:18;RU;4;4;4
5;2021-09-25T19:35:22;2021-09-25T03:54:20;EN;5;5;5
6;2021-09-25T05:06:05;2021-09-25T19:06:25;ES;6;6;6
7;2021-09-25T13:09:53;2021-09-24T23:44:02;RU;7;7;7
8;2021-09-25T03:35:46;2021-09-25T00:11:35;RU;8;8;8
9;2021-09-25T04:27:24;2021-09-25T15:58:50;RU;9;9;9
10;2021-09-25T00:24:22;2021-09-25T17:21:51;RU;10;10;10
